employee_id,age,department,job_level,education_field,tenure_years,monthly_income,overtime,job_satisfaction,worklife_balance,distance_from_home_km,years_since_last_promotion,trainings_last_year,attrition
EMP-0304,28,Finance,Mid,Technical,0.3,4542.34,No,4,3,26,0,2,No
EMP-0305,35,Customer Support,Junior,Technical,0.5,3022.82,Yes,4,1,30,0,1,Yes
EMP-0306,30,Engineering,Junior,Marketing,0.8,3573.18,No,3,4,10,0,1,No
EMP-0307,29,Customer Support,Mid,Business,4.6,4993.58,No,3,1,35,0,1,No
EMP-0308,21,Engineering,Mid,Marketing,0.0,4563.58,No,2,4,12,0,0,Yes
EMP-0309,21,Engineering,Junior,Marketing,0.0,2849.21,No,3,1,10,0,1,Yes
EMP-0310,37,Customer Support,Mid,Other,0.4,5036.67,Yes,2,2,40,0,1,Yes
EMP-0311,22,Sales,Junior,Technical,1.0,2979.1,Yes,3,3,3,1,4,Yes
EMP-0312,38,Engineering,Senior,Other,0.0,6952.44,No,2,2,4,0,0,No
EMP-0313,23,Customer Support,Mid,Technical,1.2,5047.74,Yes,3,3,1,1,3,No
EMP-0314,34,Sales,Junior,Technical,12.0,3598.02,Yes,3,4,6,7,1,No
EMP-0315,38,Customer Support,Senior,Business,0.1,7443.73,Yes,4,3,3,0,1,No
EMP-0316,22,Customer Support,Lead,Technical,1.0,10426.88,Yes,3,2,1,1,0,Yes
EMP-0317,34,Sales,Junior,Technical,1.6,3777.76,No,4,2,17,1,2,No
EMP-0318,35,Marketing,Junior,Other,2.2,3285.25,No,4,2,1,0,1,No
EMP-0319,32,Finance,Senior,Technical,6.9,7333.48,No,2,3,2,2,2,Yes
EMP-0320,38,Engineering,Senior,Business,6.6,8064.39,No,4,4,1,0,2,No
EMP-0321,31,Marketing,Mid,Business,7.0,5521.76,No,4,1,1,1,2,No
EMP-0322,21,Customer Support,Mid,Business,0.0,4897.71,Yes,4,4,7,0,6,No
EMP-0323,40,Marketing,Mid,Technical,0.6,4655.16,No,3,3,8,0,2,No
EMP-0324,24,Customer Support,Senior,Other,1.4,6785.0,Yes,3,4,1,1,0,No
EMP-0325,26,Customer Support,Junior,Other,3.3,3239.61,Yes,2,4,2,2,0,No
EMP-0326,22,Sales,Junior,Other,1.0,2925.23,No,1,3,16,1,1,No
EMP-0327,32,Marketing,Junior,Marketing,0.5,3709.13,No,3,4,6,0,0,No
EMP-0328,28,Sales,Junior,Technical,3.4,3411.44,Yes,2,1,1,2,3,Yes
EMP-0329,42,Sales,Mid,Business,4.0,5198.17,No,4,2,10,1,5,Yes
EMP-0330,26,Customer Support,Junior,Other,1.6,3526.62,No,4,2,9,1,1,No
EMP-0331,43,Customer Support,Mid,Marketing,4.5,5533.12,Yes,2,2,1,1,4,Yes
EMP-0332,29,Customer Support,Junior,Technical,0.2,3340.5,Yes,2,3,7,0,0,No
EMP-0333,21,Engineering,Mid,Other,0.0,4679.3,No,3,4,3,0,2,No
EMP-0334,28,Customer Support,Junior,Business,3.0,2885.88,Yes,2,1,5,0,2,No
EMP-0335,27,Customer Support,Mid,Technical,0.6,4398.75,Yes,4,3,6,0,3,Yes
EMP-0336,48,Engineering,Mid,Other,0.3,4849.22,No,3,3,13,0,1,No
EMP-0337,33,Finance,Senior,Other,11.6,7313.57,No,2,3,3,4,3,No
EMP-0338,35,Sales,Junior,Other,3.4,3421.96,Yes,4,2,5,0,6,Yes
EMP-0339,32,Engineering,Senior,Business,0.8,6519.03,No,4,4,1,0,2,No
EMP-0340,21,Sales,Junior,Marketing,0.0,3292.6,Yes,4,2,2,0,2,No
EMP-0341,45,Finance,Mid,Business,1.3,4183.9,Yes,3,3,19,0,4,No
EMP-0342,31,Finance,Senior,Technical,4.2,7246.69,No,3,2,13,0,5,No
EMP-0343,38,Sales,Junior,Business,1.8,3742.71,No,3,3,6,0,1,No
EMP-0344,42,Sales,Lead,Other,1.8,11083.67,No,3,2,1,0,3,No
EMP-0345,21,Engineering,Senior,Technical,0.0,8339.19,No,2,3,1,0,3,Yes
EMP-0346,25,HR,Senior,Technical,1.0,7045.46,No,3,3,2,1,2,No
EMP-0347,21,Sales,Mid,Marketing,0.0,5110.97,No,3,3,1,0,0,No
EMP-0348,42,Sales,Senior,Marketing,1.6,7840.63,Yes,4,4,16,1,1,No
EMP-0349,33,Marketing,Mid,Marketing,0.8,5093.3,Yes,4,4,7,0,2,No
EMP-0350,36,Customer Support,Senior,Technical,7.7,7391.39,No,2,1,22,5,2,Yes
EMP-0351,39,Customer Support,Mid,Technical,2.1,4906.05,Yes,3,1,2,0,4,Yes
EMP-0352,24,Engineering,Junior,Technical,2.5,3256.4,No,4,4,10,0,2,No
EMP-0353,36,Engineering,Mid,Marketing,1.1,5425.86,No,4,3,1,1,0,No
EMP-0354,44,HR,Senior,Technical,2.8,7860.21,No,1,3,12,2,1,No
EMP-0355,28,Finance,Junior,Business,0.4,3000.84,No,3,2,1,0,1,No
EMP-0356,41,Customer Support,Mid,Other,0.6,4744.15,Yes,4,4,2,0,1,Yes
EMP-0357,21,Customer Support,Mid,Business,0.0,5675.92,Yes,3,4,9,0,1,Yes
EMP-0358,21,Engineering,Mid,Other,0.0,5123.3,No,1,4,9,0,3,No
EMP-0359,22,HR,Mid,Other,1.0,5053.91,Yes,3,4,4,1,0,Yes
EMP-0360,44,Marketing,Mid,Marketing,0.9,5676.67,Yes,2,3,17,0,1,No
EMP-0361,31,Engineering,Junior,Technical,0.0,3754.65,No,4,2,10,0,1,No
EMP-0362,39,Sales,Senior,Business,6.5,8001.75,No,3,2,1,0,2,No
EMP-0363,23,Engineering,Mid,Marketing,0.3,4902.49,No,2,3,12,0,3,No
EMP-0364,32,Customer Support,Lead,Marketing,0.3,8606.61,Yes,2,4,1,0,2,No
EMP-0365,23,HR,Senior,Technical,2.0,7362.84,No,2,4,12,1,2,Yes
EMP-0366,42,Sales,Mid,Other,3.1,5210.36,No,3,3,6,1,5,No
EMP-0367,42,Engineering,Mid,Business,0.7,5419.54,No,4,3,2,0,3,No
EMP-0368,29,Sales,Junior,Business,1.5,2916.42,No,3,4,5,1,2,No
EMP-0369,41,Sales,Junior,Marketing,2.8,3064.08,No,4,1,2,2,3,Yes
EMP-0370,30,Engineering,Mid,Technical,1.7,4186.85,No,4,3,6,0,1,No
EMP-0371,31,Engineering,Junior,Technical,0.4,3648.88,No,4,3,2,0,1,No
EMP-0372,40,Sales,Mid,Other,2.5,5390.58,Yes,2,1,33,0,1,Yes
EMP-0373,37,Sales,Junior,Technical,3.4,2961.36,No,4,2,4,0,4,No
EMP-0374,52,HR,Mid,Business,0.1,5196.28,No,4,3,1,0,1,No
EMP-0375,48,Customer Support,Senior,Marketing,3.6,7693.1,No,4,1,27,3,3,No
EMP-0376,32,Engineering,Junior,Business,0.5,3008.42,No,3,2,1,0,0,No
EMP-0377,31,Sales,Senior,Marketing,2.2,8511.25,Yes,2,3,3,2,0,Yes
EMP-0378,41,Customer Support,Mid,Other,4.6,4084.53,Yes,3,1,3,0,3,Yes
EMP-0379,38,Sales,Senior,Business,1.2,6266.98,Yes,4,2,1,0,2,No
EMP-0380,36,Sales,Junior,Technical,7.9,3274.48,No,4,3,4,3,1,No
EMP-0381,31,Sales,Junior,Business,0.5,3777.79,Yes,3,3,1,0,2,No
EMP-0382,32,Sales,Mid,Technical,4.8,4607.82,Yes,1,2,8,4,1,No
EMP-0383,32,Sales,Junior,Other,0.5,3478.26,No,3,3,1,0,3,No
EMP-0384,39,Finance,Junior,Marketing,7.5,3538.27,No,2,3,18,2,3,No
EMP-0385,30,Sales,Mid,Other,6.1,4466.55,No,1,1,4,1,1,No
EMP-0386,31,HR,Junior,Other,0.6,2991.76,No,2,4,13,0,2,Yes
EMP-0387,40,HR,Mid,Other,2.3,4298.29,No,3,3,13,0,1,No
EMP-0388,43,Sales,Lead,Marketing,5.0,10150.48,Yes,2,3,15,1,0,No
EMP-0389,36,Sales,Junior,Marketing,0.1,3223.33,Yes,1,3,5,0,1,No
EMP-0390,40,Marketing,Lead,Marketing,0.3,9834.88,No,2,1,5,0,1,No
EMP-0391,33,HR,Junior,Other,4.4,3665.84,No,3,2,5,0,4,No
EMP-0392,31,HR,Senior,Marketing,2.3,6807.87,No,3,1,2,2,3,No
EMP-0393,23,Engineering,Lead,Technical,0.7,8373.35,Yes,2,2,25,0,1,Yes
EMP-0394,27,Sales,Mid,Technical,0.1,4538.91,Yes,3,1,5,0,4,No
EMP-0395,44,Engineering,Junior,Technical,4.8,2897.19,No,3,1,2,0,2,No
EMP-0396,35,Marketing,Senior,Marketing,0.5,7993.24,No,2,3,9,0,3,Yes
EMP-0397,43,Sales,Mid,Technical,5.4,4326.82,No,2,4,19,0,0,No
EMP-0398,23,Engineering,Senior,Other,1.7,7030.07,No,4,2,2,1,3,Yes
EMP-0399,29,Customer Support,Mid,Business,0.5,4311.97,Yes,4,4,1,0,5,No
EMP-0400,32,Finance,Mid,Technical,0.4,5728.46,No,3,4,6,0,3,No
EMP-0401,27,Customer Support,Junior,Technical,1.6,3742.67,Yes,4,1,1,0,2,No
EMP-0402,32,Engineering,Mid,Technical,2.5,4353.42,No,2,3,5,2,1,No
EMP-0403,36,Sales,Junior,Business,0.9,3727.85,Yes,2,4,10,0,3,No
EMP-0404,36,Customer Support,Junior,Technical,6.5,3291.31,Yes,4,4,2,6,0,No
EMP-0405,39,HR,Junior,Technical,2.6,2973.5,No,4,2,5,2,5,No
EMP-0406,37,HR,Mid,Business,0.9,4857.21,Yes,2,4,4,0,1,No
EMP-0407,43,HR,Junior,Marketing,4.8,3830.53,Yes,4,2,2,0,1,No
EMP-0408,37,Sales,Lead,Business,0.6,10621.03,Yes,1,4,2,0,1,No
EMP-0409,21,Marketing,Senior,Other,0.0,8539.59,Yes,3,2,1,0,1,No
EMP-0410,43,Sales,Junior,Business,0.5,3458.69,Yes,4,3,13,0,0,No
EMP-0411,29,Sales,Lead,Business,2.6,10130.04,No,2,3,9,0,0,No
EMP-0412,21,Finance,Mid,Marketing,0.0,5126.82,No,3,4,27,0,4,No
EMP-0413,45,Customer Support,Junior,Technical,1.0,3749.95,No,4,4,5,1,0,Yes
EMP-0414,30,Engineering,Junior,Marketing,4.7,3397.81,No,3,2,1,4,1,No
EMP-0415,29,Sales,Junior,Marketing,2.9,3188.31,No,1,1,12,2,2,Yes
EMP-0416,26,Sales,Senior,Marketing,2.2,7244.85,Yes,4,4,1,2,0,No
EMP-0417,34,Finance,Mid,Other,5.0,5649.5,No,3,4,2,2,3,No
EMP-0418,44,Finance,Mid,Business,2.9,4631.7,Yes,4,1,6,0,4,Yes
EMP-0419,49,Finance,Junior,Business,2.1,3780.88,No,3,3,17,2,1,No
EMP-0420,24,Engineering,Senior,Technical,3.0,7053.09,No,4,2,6,3,1,Yes
EMP-0421,60,HR,Senior,Marketing,0.9,8390.89,No,4,4,1,0,1,No
EMP-0422,22,Sales,Junior,Technical,1.0,3234.79,Yes,4,3,1,1,3,No
EMP-0423,30,Engineering,Senior,Business,7.5,6923.48,No,2,2,3,1,4,No
EMP-0424,23,Sales,Mid,Other,0.9,4704.69,Yes,3,4,3,0,2,Yes
EMP-0425,32,HR,Senior,Other,3.3,7335.4,No,3,4,19,3,1,No
EMP-0426,38,Customer Support,Lead,Marketing,4.6,10240.2,Yes,3,2,13,4,3,Yes
EMP-0427,41,Customer Support,Junior,Technical,3.8,3760.18,Yes,4,3,22,2,3,Yes
EMP-0428,30,Marketing,Junior,Technical,1.6,3061.57,No,3,3,1,1,1,No
EMP-0429,28,Sales,Mid,Business,1.1,4459.03,No,2,4,6,1,4,No
EMP-0430,26,Customer Support,Lead,Business,2.1,9218.22,Yes,3,3,4,0,2,Yes
EMP-0431,30,Customer Support,Mid,Other,3.2,4591.16,Yes,3,4,1,2,0,No
EMP-0432,34,Marketing,Senior,Business,0.7,7163.28,No,2,4,40,0,0,Yes
EMP-0433,42,Engineering,Mid,Marketing,0.6,4542.13,No,3,3,1,0,5,No
EMP-0434,21,Sales,Junior,Technical,0.0,2783.18,Yes,1,3,11,0,5,Yes
EMP-0435,23,Engineering,Senior,Technical,0.2,6576.15,No,4,3,10,0,2,No
EMP-0436,34,Marketing,Junior,Business,8.1,2985.73,No,3,4,1,2,2,No
EMP-0437,21,Engineering,Junior,Technical,0.0,2766.67,No,4,3,2,0,2,No
EMP-0438,29,Finance,Mid,Marketing,3.6,4600.51,No,3,3,6,3,1,No
EMP-0439,25,Sales,Mid,Marketing,4.0,4852.54,No,4,2,10,0,2,No
EMP-0440,28,Customer Support,Junior,Other,0.5,3170.8,Yes,2,1,20,0,1,Yes
EMP-0441,34,Customer Support,Mid,Technical,0.9,4766.52,Yes,4,1,1,0,3,Yes
EMP-0442,33,Engineering,Senior,Technical,0.4,7132.27,No,1,1,15,0,1,No
EMP-0443,42,HR,Lead,Marketing,2.7,8491.65,No,3,2,18,2,3,No
EMP-0444,30,Customer Support,Junior,Technical,5.2,3057.86,Yes,4,2,1,0,2,Yes
EMP-0445,21,Engineering,Junior,Business,0.0,2824.69,No,3,1,11,0,2,No
EMP-0446,21,Sales,Mid,Technical,0.0,4878.17,Yes,4,4,7,0,3,No
EMP-0447,41,Engineering,Lead,Marketing,9.9,10343.93,No,3,4,1,3,0,No
EMP-0448,38,HR,Mid,Technical,2.6,4906.09,No,2,4,4,2,2,No
EMP-0449,26,Sales,Senior,Marketing,1.5,6312.81,Yes,2,4,7,0,3,No
EMP-0450,23,Sales,Mid,Business,0.1,4483.23,Yes,4,2,15,0,3,No
EMP-0451,21,Sales,Senior,Other,0.0,6275.76,No,4,4,7,0,4,No
EMP-0452,32,HR,Mid,Marketing,1.1,5386.56,No,4,3,8,0,3,No
EMP-0453,30,Engineering,Junior,Other,0.5,3760.86,Yes,2,2,12,0,2,Yes
EMP-0454,30,Sales,Junior,Other,5.1,3431.98,No,1,1,1,4,2,Yes
EMP-0455,39,HR,Mid,Other,1.6,5303.65,No,4,4,15,1,3,No
EMP-0456,24,Finance,Mid,Technical,3.0,5402.61,Yes,2,1,10,3,5,Yes
EMP-0457,21,HR,Mid,Other,0.0,4305.04,No,3,3,2,0,3,No
EMP-0458,28,Engineering,Junior,Business,0.2,2724.42,No,4,3,7,0,4,No
EMP-0459,21,Marketing,Junior,Other,0.0,2990.8,No,4,4,5,0,3,No
EMP-0460,25,HR,Mid,Marketing,4.0,4395.11,Yes,1,4,1,0,2,No
EMP-0461,42,Finance,Mid,Business,1.4,4956.81,No,4,3,10,1,4,No
EMP-0462,41,Customer Support,Mid,Technical,0.2,4777.69,Yes,1,3,12,0,3,Yes
EMP-0463,37,Marketing,Junior,Business,2.0,3071.46,No,2,3,1,0,2,No
EMP-0464,48,Engineering,Mid,Business,2.0,4901.54,No,3,2,9,0,1,Yes
EMP-0465,46,Sales,Mid,Technical,0.4,5052.64,No,4,4,4,0,0,No
EMP-0466,34,HR,Lead,Technical,6.2,10211.69,No,2,2,1,1,1,No
EMP-0467,32,Customer Support,Junior,Other,4.4,3282.87,Yes,4,3,13,3,3,No
EMP-0468,34,Customer Support,Senior,Business,3.8,7842.96,No,3,2,4,3,2,No
EMP-0469,24,Customer Support,Senior,Marketing,2.8,7573.87,Yes,1,4,13,1,0,No
EMP-0470,29,Engineering,Lead,Technical,1.7,10270.14,No,3,3,10,0,3,No
EMP-0471,32,Marketing,Junior,Business,8.0,3562.61,No,1,4,1,1,1,No
EMP-0472,34,HR,Mid,Business,0.0,5712.7,No,3,4,34,0,0,No
EMP-0473,33,Engineering,Mid,Business,4.8,5450.32,No,4,4,2,4,1,No
EMP-0474,21,Sales,Mid,Other,0.0,5528.9,No,2,3,1,0,1,No
EMP-0475,25,Customer Support,Mid,Marketing,3.1,4672.35,Yes,2,4,3,0,2,No
EMP-0476,44,Sales,Junior,Other,0.1,3815.71,No,1,2,9,0,3,Yes
EMP-0477,31,Marketing,Mid,Technical,1.9,4188.49,No,4,3,1,1,3,No
EMP-0478,54,Marketing,Lead,Other,0.9,8256.24,No,2,3,7,0,3,Yes
EMP-0479,27,Sales,Junior,Business,1.0,3132.74,No,4,4,2,1,1,No
EMP-0480,48,Finance,Mid,Other,0.3,4971.59,Yes,2,3,1,0,4,No
EMP-0481,31,Customer Support,Senior,Technical,1.1,6789.16,No,4,3,1,0,4,No
EMP-0482,30,Engineering,Mid,Other,6.3,5704.61,No,3,4,2,4,0,No
EMP-0483,42,Engineering,Junior,Technical,1.4,3611.23,No,3,2,7,1,1,Yes
EMP-0484,39,Finance,Mid,Technical,9.6,4551.84,No,2,2,28,2,2,Yes
EMP-0485,30,Engineering,Mid,Marketing,0.6,4511.29,No,2,2,12,0,0,Yes
EMP-0486,27,Marketing,Mid,Other,1.4,5656.11,No,3,2,1,1,3,Yes
EMP-0487,31,Sales,Senior,Marketing,1.9,7461.37,No,3,4,2,1,4,No
EMP-0488,37,Engineering,Mid,Marketing,0.3,4607.77,Yes,2,4,15,0,1,No
EMP-0489,33,Customer Support,Mid,Business,2.8,4680.33,No,4,4,21,0,3,Yes
EMP-0490,39,Customer Support,Mid,Marketing,2.4,4218.9,Yes,4,4,9,1,0,No
EMP-0491,37,Finance,Junior,Marketing,2.3,3500.92,No,3,3,1,0,2,No
EMP-0492,21,Finance,Junior,Marketing,0.0,3651.12,No,3,3,13,0,4,No
EMP-0493,39,Customer Support,Junior,Business,7.5,3068.4,Yes,4,3,16,0,1,Yes
EMP-0494,34,Sales,Junior,Marketing,0.1,2722.84,Yes,1,3,5,0,1,No
EMP-0495,41,Engineering,Junior,Technical,1.1,3818.99,No,1,2,1,1,2,No
EMP-0496,27,Finance,Junior,Other,6.0,3781.28,No,3,2,4,0,4,No
EMP-0497,46,Engineering,Junior,Other,1.9,3627.82,No,4,3,4,1,7,No
EMP-0498,27,Finance,Junior,Business,1.4,2894.51,No,4,2,2,1,2,No
EMP-0499,34,Customer Support,Senior,Marketing,2.0,7870.6,No,3,2,24,0,1,No
EMP-0500,21,Sales,Mid,Business,0.0,4299.91,No,2,4,3,0,3,No
EMP-0501,21,HR,Mid,Business,0.0,5471.85,No,3,3,21,0,3,No
EMP-0502,31,Customer Support,Junior,Technical,1.0,2789.79,Yes,2,1,3,1,6,Yes
EMP-0503,29,Finance,Mid,Business,0.7,4445.08,No,2,2,2,0,1,No
EMP-0504,29,Customer Support,Senior,Other,1.5,8584.7,No,2,2,15,0,0,No
EMP-0505,27,Sales,Junior,Business,4.3,3378.05,Yes,4,2,9,2,2,No
EMP-0506,41,Sales,Junior,Other,7.6,2943.14,No,4,2,2,0,4,Yes
EMP-0507,34,Customer Support,Senior,Marketing,5.3,7543.73,No,3,3,6,0,3,No
EMP-0508,34,Engineering,Lead,Business,0.3,8641.36,No,3,2,7,0,3,No
EMP-0509,43,Sales,Mid,Business,1.6,4261.49,No,3,3,1,1,6,No
EMP-0510,45,Sales,Junior,Marketing,2.5,3339.06,Yes,4,3,6,0,3,Yes
EMP-0511,35,Finance,Junior,Other,0.4,3229.37,Yes,4,3,1,0,2,Yes
EMP-0512,42,Customer Support,Senior,Business,4.5,7206.17,No,1,2,4,4,0,No
EMP-0513,56,Sales,Mid,Technical,2.0,4318.5,No,4,3,19,0,1,No
EMP-0514,43,Engineering,Senior,Marketing,0.4,8459.29,No,3,3,4,0,3,No
EMP-0515,31,Engineering,Senior,Technical,0.9,7483.57,No,4,4,3,0,1,No
EMP-0516,33,Engineering,Junior,Marketing,3.1,2829.48,No,1,4,14,1,3,No
EMP-0517,36,Customer Support,Senior,Marketing,2.6,6138.86,Yes,3,4,7,2,4,No
EMP-0518,33,Engineering,Mid,Marketing,3.5,5542.26,No,3,1,4,3,3,No
EMP-0519,42,Customer Support,Junior,Marketing,5.2,2923.82,Yes,4,3,5,2,3,No
EMP-0520,29,Marketing,Mid,Business,2.5,4653.52,No,1,3,5,2,2,No
EMP-0521,31,Engineering,Junior,Marketing,7.1,2738.43,No,2,2,7,3,4,No
EMP-0522,29,Sales,Lead,Business,4.2,11212.57,Yes,1,1,1,0,2,No
EMP-0523,31,Finance,Junior,Other,0.6,2755.07,No,3,3,1,0,1,No
EMP-0524,33,Customer Support,Junior,Marketing,0.4,3335.06,Yes,3,4,3,0,4,Yes
EMP-0525,43,Sales,Junior,Other,6.4,3320.82,No,4,3,20,1,5,No
EMP-0526,30,Customer Support,Mid,Other,6.7,4793.41,Yes,4,1,5,0,5,Yes
EMP-0527,35,Customer Support,Mid,Business,1.3,5550.85,No,3,3,1,0,2,No
EMP-0528,29,Sales,Mid,Other,2.1,4859.64,No,3,4,16,1,0,No
EMP-0529,26,Customer Support,Junior,Technical,5.0,3304.21,Yes,4,2,14,1,1,Yes
EMP-0530,36,Finance,Mid,Business,0.5,4486.83,No,2,3,3,0,1,No
EMP-0531,40,Marketing,Mid,Marketing,1.8,5666.74,Yes,2,3,2,0,3,Yes
EMP-0532,26,Marketing,Junior,Marketing,4.7,3834.2,Yes,2,2,14,4,2,No
EMP-0533,36,Customer Support,Junior,Marketing,1.5,2991.87,Yes,4,2,31,0,5,Yes
EMP-0534,32,Sales,Junior,Business,11.0,3388.48,Yes,3,4,1,1,0,No
EMP-0535,26,Engineering,Mid,Business,4.1,4796.13,No,3,3,4,0,1,No
EMP-0536,47,Customer Support,Mid,Business,0.1,5703.38,Yes,1,3,4,0,3,No
EMP-0537,46,Finance,Mid,Other,2.3,4253.95,No,3,1,6,0,4,No
EMP-0538,28,Engineering,Junior,Other,1.2,3294.41,No,3,2,11,0,2,No
EMP-0539,32,Customer Support,Lead,Technical,6.9,8348.31,Yes,4,3,6,0,4,No
EMP-0540,36,Customer Support,Mid,Business,0.8,5180.03,Yes,1,2,1,0,1,Yes
EMP-0541,26,Sales,Mid,Technical,3.4,5722.84,No,3,4,9,0,2,No
EMP-0542,23,Customer Support,Mid,Business,1.4,4923.94,Yes,4,3,23,1,3,Yes
EMP-0543,22,HR,Junior,Business,1.0,3393.91,Yes,2,3,16,0,4,No
EMP-0544,38,Sales,Junior,Other,2.4,3752.61,No,1,4,2,0,6,No
EMP-0545,36,Sales,Senior,Technical,1.5,6490.13,Yes,2,2,3,0,4,Yes
EMP-0546,37,Engineering,Senior,Business,4.9,6709.14,No,3,3,5,2,1,No
EMP-0547,24,Engineering,Senior,Technical,3.0,6184.8,No,3,1,2,3,2,No
EMP-0548,35,HR,Junior,Other,1.5,2874.86,No,2,4,8,0,3,Yes
EMP-0549,28,Engineering,Lead,Marketing,1.1,10139.04,Yes,4,3,13,1,1,No
EMP-0550,33,Marketing,Junior,Business,0.8,3425.15,No,2,1,9,0,2,Yes
EMP-0551,38,Sales,Junior,Business,0.9,3287.99,No,1,3,20,0,2,Yes
EMP-0552,46,Engineering,Junior,Technical,0.9,3270.52,No,4,2,1,0,1,No
EMP-0553,32,Marketing,Senior,Business,2.5,8403.26,No,3,2,1,0,1,Yes
EMP-0554,39,Engineering,Lead,Other,10.6,10770.75,No,4,4,17,0,2,No
EMP-0555,31,Engineering,Junior,Business,1.0,3109.13,No,2,4,1,1,2,Yes
EMP-0556,49,Engineering,Mid,Other,0.1,5461.49,No,3,2,3,0,2,Yes
EMP-0557,22,Customer Support,Senior,Other,1.0,7631.33,Yes,3,4,1,0,2,No
EMP-0558,27,Marketing,Senior,Marketing,3.9,8234.94,No,4,3,1,1,3,No
EMP-0559,34,Engineering,Junior,Marketing,4.0,3099.52,No,3,3,2,1,3,No
EMP-0560,52,Finance,Senior,Business,1.9,7176.75,No,1,1,14,0,5,No
EMP-0561,36,Finance,Mid,Marketing,0.7,5239.32,No,3,3,1,0,0,No
EMP-0562,37,Customer Support,Lead,Technical,7.2,8555.52,No,2,2,2,3,0,Yes
EMP-0563,21,Engineering,Mid,Technical,0.0,5282.29,Yes,1,3,6,0,5,Yes
EMP-0564,41,Finance,Junior,Business,2.8,3158.46,No,4,4,6,2,1,No
EMP-0565,38,Engineering,Junior,Technical,0.9,3819.38,No,3,4,4,0,4,No
EMP-0566,21,Customer Support,Senior,Business,0.0,6277.7,Yes,3,2,1,0,3,No
EMP-0567,25,Engineering,Junior,Technical,4.0,3109.51,No,1,3,12,0,0,No
EMP-0568,32,Engineering,Senior,Other,3.8,7145.39,No,3,1,1,0,2,No
EMP-0569,41,Engineering,Junior,Other,5.3,3460.97,No,1,2,9,5,0,Yes
EMP-0570,40,Finance,Junior,Technical,0.4,2864.71,Yes,3,3,27,0,2,No
EMP-0571,31,Engineering,Junior,Other,0.4,3023.86,No,4,2,15,0,2,No
EMP-0572,26,Engineering,Junior,Marketing,5.0,2780.49,No,4,3,13,0,0,No
EMP-0573,46,Customer Support,Junior,Other,0.9,2750.53,Yes,4,3,1,0,4,No
EMP-0574,37,Engineering,Junior,Marketing,3.0,3515.46,No,4,4,7,0,4,No
EMP-0575,26,Finance,Junior,Marketing,1.8,3762.57,No,2,2,10,0,0,No
EMP-0576,35,Marketing,Mid,Other,0.0,4295.99,No,3,1,13,0,0,No
EMP-0577,21,Customer Support,Junior,Technical,0.0,3468.25,Yes,3,3,10,0,4,No
EMP-0578,26,Sales,Junior,Marketing,1.0,3717.11,Yes,4,3,16,0,3,No
EMP-0579,48,Engineering,Mid,Other,0.6,5245.04,No,3,1,40,0,1,No
EMP-0580,49,Finance,Senior,Technical,2.1,7350.62,No,3,3,2,1,3,No
EMP-0581,27,Sales,Lead,Marketing,1.1,10846.67,Yes,3,2,18,0,3,No
EMP-0582,35,Finance,Mid,Other,2.5,4734.17,No,3,2,18,2,3,No
EMP-0583,50,Finance,Junior,Business,1.4,3754.42,No,3,4,8,1,0,No
EMP-0584,29,Engineering,Mid,Business,3.3,4246.3,No,3,4,9,0,2,No
EMP-0585,33,Sales,Junior,Other,2.8,3334.81,Yes,4,2,16,2,0,No
EMP-0586,41,Customer Support,Junior,Marketing,1.6,3682.39,Yes,4,1,7,0,4,Yes
EMP-0587,33,Engineering,Lead,Technical,0.3,10972.65,No,4,2,5,0,3,No
EMP-0588,37,Engineering,Junior,Technical,1.9,3772.14,No,3,3,2,1,2,No
EMP-0589,37,Marketing,Mid,Business,0.9,5382.45,No,2,4,8,0,1,No
EMP-0590,39,Sales,Mid,Other,5.6,4618.13,No,1,4,16,0,3,No
EMP-0591,29,Customer Support,Senior,Business,1.6,7437.68,No,3,4,3,1,0,No
EMP-0592,30,Finance,Mid,Business,0.5,4718.01,Yes,3,1,10,0,3,Yes
EMP-0593,34,HR,Junior,Marketing,0.5,3583.04,No,4,2,1,0,4,No
EMP-0594,38,Customer Support,Mid,Other,8.3,5593.03,No,2,1,1,1,2,No
EMP-0595,34,Sales,Senior,Marketing,8.7,6761.59,No,2,3,1,0,4,No
EMP-0596,48,Marketing,Lead,Technical,3.3,11291.97,No,3,4,2,1,2,No
EMP-0597,30,Sales,Lead,Marketing,4.3,10648.86,No,3,3,1,1,3,No
EMP-0598,21,Sales,Mid,Business,0.0,4623.06,No,1,4,4,0,3,Yes
EMP-0599,37,Finance,Junior,Other,4.6,3292.32,No,2,3,23,1,1,No
EMP-0600,31,Sales,Junior,Business,4.7,3393.25,Yes,3,3,1,0,2,No
EMP-0601,31,Marketing,Mid,Marketing,5.5,4942.28,No,2,2,5,1,3,No
EMP-0602,33,Customer Support,Mid,Business,0.3,5426.7,No,2,2,13,0,2,No
EMP-0603,48,Customer Support,Mid,Other,1.5,5661.84,Yes,1,1,2,0,4,Yes
EMP-0604,47,Sales,Mid,Technical,1.0,5080.19,Yes,2,3,6,0,3,No
EMP-0605,48,Engineering,Senior,Business,2.6,8113.79,Yes,2,4,1,1,4,No
EMP-0606,36,Engineering,Senior,Business,1.0,6542.84,No,1,3,19,0,0,No
EMP-0607,40,Sales,Senior,Business,2.5,8173.35,No,4,2,4,2,1,No
EMP-0608,40,Marketing,Senior,Technical,1.3,7616.5,No,3,3,11,1,1,No
